GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4
"DC Tract 22.01, block group 3",0,8,11,7,0,1,2,1.2101102E12,9,4,46,5
"DC Tract 22.02, block group 1",0,9,50,26,7,3,5,5.5005011E12,17,16,127,7
"DC Tract 22.02, block group 2",0,8,22,13,2,1,1,2.4202205E12,5,7,35,3
"DC Tract 22.02, block group 3",0,8,19,9,3,3,3,2.0901904E12,3,5,58,2
"DC Tract 23.01, block group 1",0,19,22,16,1,1,2,2.4202205E12,9,3,173,8
"DC Tract 23.01, block group 2",0,19,43,26,8,6,3,4.730431E12,30,16,226,9
"DC Tract 23.02, block group 1",0,30,11,10,0,0,0,1.2101103E12,5,13,258,746
"DC Tract 24, block group 1",0,9,13,8,1,1,1,1.4301303E12,10,11,189,10
"DC Tract 24, block group 2",0,19,16,9,2,0,0,1.7601604E12,16,22,169,8
"DC Tract 24, block group 3",0,8,18,12,0,2,3,1.9801804E12,9,6,123,4
"DC Tract 24, block group 4",0,10,15,10,1,3,3,1.6501504E12,12,11,188,5
"DC Tract 25.01, block group 1",0,13,18,9,1,3,4,1.9801805E12,15,7,129,3
"DC Tract 25.01, block group 2",0,15,22,14,1,3,2,2.4202206E12,32,45,372,10
"DC Tract 25.02, block group 1",0,6,21,10,2,2,2,2.3102105E12,10,9,143,4
"DC Tract 25.02, block group 2",0,10,30,18,4,3,4,3.3003008E12,27,18,320,8
"DC Tract 25.02, block group 3",0,6,44,22,5,2,3,4.8404411E12,35,18,340,9
"DC Tract 25.02, block group 4",0,5,37,22,4,3,4,4.0703709E12,44,51,441,16
"DC Tract 26, block group 1",0,24,16,10,1,3,3,1.7601604E12,26,37,319,53
"DC Tract 26, block group 2",0,32,13,11,0,1,1,1.4301303E12,21,50,361,49
"DC Tract 27.01, block group 1",0,3,5,4,0,0,1,550050135055,17,5,345,22
"DC Tract 27.01, block group 2",0,8,28,19,2,4,7,3.0802808E12,40,44,913,49
"DC Tract 27.01, block group 3",0,3,15,13,1,1,3,1.6501504E12,47,58,537,44
"DC Tract 27.01, block group 4",0,1,17,4,5,3,3,1.8701705E12,32,37,595,43
"DC Tract 27.02, block group 1",0,7,30,20,3,0,0,3.3003008E12,15,42,709,16
"DC Tract 27.02, block group 2",0,9,40,31,1,3,4,4.4004011E12,96,80,1338,85
"DC Tract 27.02, block group 3",0,21,20,14,1,4,4,2.2002005E12,59,90,861,48
"DC Tract 28.01, block group 1",0,4,19,13,3,2,2,2.0901905E12,12,4,565,16
"DC Tract 28.01, block group 2",0,8,62,31,15,4,4,6.8206217E12,58,39,534,13
"DC Tract 28.02, block group 1",0,7,40,14,10,1,0,4.4004011E12,50,66,896,26
"DC Tract 28.02, block group 2",0,7,34,21,2,1,0,3.740341E12,36,37,600,42
"DC Tract 29, block group 1",0,8,33,21,2,3,2,3.630331E12,23,28,601,6
"DC Tract 29, block group 2",0,11,32,17,4,1,3,3.5203209E12,44,51,837,16
"DC Tract 30, block group 1",0,6,21,14,1,3,3,2.3102106E12,11,19,775,17
"DC Tract 30, block group 2",0,5,32,15,3,2,3,3.520321E12,12,6,532,4
"DC Tract 31, block group 1",0,18,46,26,7,5,6,5.0604614E12,48,45,841,15
"DC Tract 32, block group 1",0,7,24,16,0,1,1,2.6402408E12,22,11,234,9
"DC Tract 32, block group 2",0,6,12,8,0,2,1,1.3201204E12,13,36,179,5
"DC Tract 32, block group 3",0,6,24,14,4,4,2,2.6402408E12,16,20,266,6
"DC Tract 32, block group 4",0,11,27,18,0,4,5,2.9702709E12,9,14,271,3
"DC Tract 33.01, block group 1",0,5,16,15,0,1,1,1.7601605E12,19,6,240,2
